productId,Savings$,Sale_price$,Orig_price$,Item,description,productCategory,customerRating,numReviews,brand,initialQuantity,quantity,standardUpc,imageUrl
3CLQ9U5XA7SI,100.0,349.99,449.99,NETGEAR - Orbi RBK752 AX4200 Tri-Band Mesh WiFi 6 System with Router and 1 Satellite Extender,"5,000 sq. ft. of WiFi 6 CoverageConnect 40+ devices at onceSeamless 4k streaming in every room, on all your devices",Network Routers,4.8,2441.0,NETGEAR,657,657,00606449146165,https://i5.walmartimages.com/asr/226b2a73-66b1-4848-9ef5-10a0b401bf7e.022f767be974899367b76cebac17b625.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
53L0RSJDSGXC,39.46,29.88,69.34,"Tracfone LG Journey, 32GB, Black - Prepaid Smartphone","LG Journey 5.45"" 32GB Storage 2GB RAM Black Tracfone 4G LTE Prepaid Smartphone TFLGL322DCPCarve your own path with the LG Journey LTE. This smartphone is stocked with all the essentials including",Cell Phones,4.0,463.0,LG,1019,1019,00616960331988,https://i5.walmartimages.com/asr/dd11bbf8-9eb6-44a2-b65e-e53524973935_1.e625373cf9f15f3d39a206009e5a2c30.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
6DESCE8DAB4W,100.0,249.0,349.0,"AT&T Apple iPhone SE20X, 64GB, Black - Prepaid Smartphone",Merchandise,Cell Phones,4.0,189.0,Apple,534,534,00194252148662,https://i5.walmartimages.com/asr/6ac861b1-39b7-49f2-b59c-f84054ebce4f.509dba035dc9b74987eff023fc04714d.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
7498L2BR3GA1,210.99,349.0,559.99,"EVOO 14.1 Ultra Slim Notebook - Elite Series, FHD Display, AMD Ryzen 5 3500U Processor with Radeon Vega 8 Graphics, 8GB RAM, 256GB SSD, HD Webcam, Windows 10 Home,","Windows 10 Home14.1 FHD Display, 1920 x 1080, 60HzAMD Ryzen 5 3500U Mobile Processor with Radeon Vega 8 Graphics (2.1GHz, Up to 3.7GHz)",Laptop Computers,3.5,2.0,EVOO,2225,2225,00812550033830,https://i5.walmartimages.com/asr/6395bc8e-fd92-4b93-8715-c52cb7563c8a.4de333ceaa4fdd8227bb41742ab4a844.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
2F4VOO31KVK5,200.99,199.0,399.99,"Philips PB603 Dolby Atmos Soundbar Speaker 3.1 Channel with Wireless Subwoofer, 300W (TAPB603)",Philips PB603 Dolby Atmos 3.1 channel soundbar speaker with wireless subwooferEnjoy a cinematic experience right at home with Dolby Atmos sound that creates a 3D listening experience,Sound Bars,4.4,34.0,Philips,463,463,00840063200500,https://i5.walmartimages.com/asr/df63a207-5740-442c-b90b-d14d962fbe9a.0ec531ed39c0c357f48c2935cdd5704c.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
2JBPZG4MPXUG,702.0,1297.99,1999.99,"SAMSUNG 43"" Class 4K UHD (2160p) The Sero HDR Smart QLED TV QN43LS05TA 2020",SAMQN43LS05TAThe Frame 3.0 QLED Smart 4K UHD TV (2020 Model)The Frame Standard Smart Remote (TM2050A - White)Remote Control BatteryPower CableUser Manual,Televisions,4.5,62.0,SAMSUNG,63,63,00887276411507,https://i5.walmartimages.com/asr/85bf7f3d-040d-4046-a966-9b1b1fb443f1.d461f287afd2ff62ed406105f38f995a.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
748VN6WD3MKP,150.0,199.0,349.0,Total Wireless Apple iPhone SE (2020) w/ 64GB,,Cell Phones,4.2,53.0,Apple,11,11,00616960376965,https://i5.walmartimages.com/asr/be2f1b07-2634-479f-9b9b-c767af455fbb_2.dd8d9aaa2f1ff829e5a2e4f9d268c486.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
2S5JVH48ZUKI,15.0,92.99,107.99,Toshiba Canvio Advance 4TB Portable External Hard Drive USB 3.0 Black - HDTC940XK3CA,Toshiba Canvio Advance Portable External Hard Drive 4TB Black2-year limited warranty,Hard Drives,4.7,23.0,Toshiba,529,529,00723844000424,https://i5.walmartimages.com/asr/e6bef4fa-1210-40b5-9d8f-715597c271d4_1.c88b4478ae38380b66c2dfd9d34b16dc.png?odnHeight=200&odnWidth=200&odnBg=ffffff
6J3WC77RNRGN,30.0,199.0,229.0,"HP 11"" Touch Chromebook, Celeron N3350,  4GB RAM, 32GB emmc, Grey/Blue, Chrome, 11a-nd0100wm","Chrome with integrated Intel HD 500 Graphics Intel Celeron N3350, Dual-Core, 1.1 GHz up to 2.4 GHz Up to 11 hours mixed usage HD touchscreen, access to Android apps, Google Assistant and Stadia 2",Laptop Computers,0.0,0.0,HP,4960,4960,00195908415152,https://i5.walmartimages.com/asr/c428e080-af0b-405d-ac54-a9636f3903de.9fdc7b46c159fb035a107c113da341bc.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
0SJ0KAY6QNS5,4.0,20.88,24.88,"onn. Tilting TV Wall Mount for TVs 50""-86""","Supports 47""-86"" TVsHolds up to 120 lbs (54.4 kg)Positions TV approximately 2 in (5.1 cm) from wall",TV & Monitor Mounts,4.8,151.0,onn.,3627,3627,00681131308434,https://i5.walmartimages.com/asr/60c2fc40-e352-44cc-8e86-86faeb0140fc.c995657eae4fb73d878e0d5190dc39bf.png?odnHeight=200&odnWidth=200&odnBg=ffffff
